店舗名,年度,月,制服冬上,制服冬下,Yシャツ,制服夏上,制服夏下,体操服上,体操服下,靴下,シューズ,帽子,体操帽,合計,,,
新見,2016,4,143,143,1283,760,832,8055,6059,1544,1616,665,6843,27942,,,
新見,2016,5,166,119,689,6415,7484,5370,4704,1782,832,119,5607,33288,,,
新見,2016,6,24,71,475,3493,3041,808,760,1758,737,143,689,11999,,,
新見,2016,7,24,71,356,143,166,1497,1164,1568,832,166,1164,7152,,,
新見,2016,8,48,24,95,166,190,261,285,1639,808,119,261,3897,,,
新見,2016,9,356,261,356,71,71,71,71,1449,879,166,0,3754,,,
新見,2016,10,404,380,309,48,71,71,119,1568,903,190,0,4063,,,
新見,2016,11,143,143,333,48,71,95,24,1734,927,119,0,3635,,,
新見,2016,12,166,166,855,24,71,24,24,1521,618,190,0,3659,,,
新見,2016,1,166,143,214,24,48,24,48,1663,285,143,0,2756,,,
新見,2016,2,665,879,166,24,24,24,71,1758,261,166,0,4039,,,
新見,2016,3,7057,8126,12854,760,689,1568,1830,15800,8245,8126,1497,66552,,,
新見,2017,4,143,166,1782,737,594,7746,7532,1402,1354,737,5536,27728,,,
新見,2017,5,143,143,618,8031,6296,3920,4063,1236,903,190,5346,30888,,,
新見,2017,6,24,71,523,2495,3326,879,903,1259,618,119,618,10835,,,
新見,2017,7,24,119,261,143,166,1164,1212,1426,665,166,1188,6534,,,
新見,2017,8,48,24,71,190,166,309,333,1236,737,143,380,3635,,,
新見,2017,9,356,380,333,71,71,71,71,1711,760,190,0,4015,,,
新見,2017,10,380,523,356,71,95,71,95,1639,808,143,0,4182,,,
新見,2017,11,166,190,451,48,71,95,24,1687,903,143,0,3778,,,
新見,2017,12,166,119,784,48,71,24,24,1711,665,190,0,3802,,,
新見,2017,1,143,166,261,24,24,24,48,1283,285,119,0,2376,,,
新見,2017,2,665,832,166,24,24,24,48,1853,285,143,0,4063,,,
新見,2017,3,8150,7057,12450,689,665,1782,1236,14945,7389,8221,1378,63962,,,
新見,2018,4,166,143,1188,713,618,5536,6273,1188,1331,855,7389,25399,,,
新見,2018,5,143,166,665,7128,7912,4229,3825,1687,642,119,4277,30793,,,
新見,2018,6,24,71,523,3279,2851,760,832,1331,760,119,832,11381,,,
新見,2018,7,24,95,285,190,143,1331,1045,1307,879,166,1117,6582,,,
新見,2018,8,48,24,71,166,143,333,309,1331,879,143,356,3802,,,
新見,2018,9,356,356,261,95,71,71,71,1188,855,166,0,3493,,,
新見,2018,10,451,451,333,48,71,48,95,1568,784,166,0,4015,,,
新見,2018,11,190,166,428,48,71,95,24,1711,689,166,0,3588,,,
新見,2018,12,143,119,855,24,71,24,24,1687,713,190,0,3849,,,
新見,2018,1,143,143,238,24,48,24,48,1212,356,166,0,2400,,,
新見,2018,2,879,642,143,48,24,24,71,1639,333,143,0,3944,,,
新見,2018,3,7389,7389,15064,879,642,1426,1307,14945,5275,7532,1426,63273,,,
総社,2016,4,119,95,1331,618,428,6320,5560,1022,1093,665,6201,23451,,,
総社,2016,5,143,95,570,6249,5940,3065,3493,1069,642,143,3992,25399,,,
総社,2016,6,24,48,285,2542,2661,499,594,1188,570,119,665,9195,,,
総社,2016,7,24,71,261,119,143,1045,903,1354,499,119,903,5441,,,
総社,2016,8,48,24,71,143,119,285,214,1354,546,143,238,3184,,,
総社,2016,9,261,214,261,71,48,71,48,1307,594,143,0,3018,,,
総社,2016,10,380,428,238,48,71,48,71,1164,475,143,0,3065,,,
総社,2016,11,119,95,285,24,48,71,24,1188,523,95,0,2471,,,
総社,2016,12,119,95,713,24,48,24,0,1402,689,143,0,3255,,,
総社,2016,1,119,95,166,24,24,24,48,1117,285,119,0,2020,,,
総社,2016,2,475,642,95,24,24,24,48,1378,238,119,0,3065,,,
総社,2016,3,6249,5607,9742,475,570,1331,1236,12189,4704,4823,1069,47995,,,
総社,2017,4,119,119,1212,523,570,4657,5512,1402,1022,665,5394,21194,,,
総社,2017,5,119,143,618,6130,6178,3469,2970,1022,546,143,2827,24164,,,
総社,2017,6,24,48,333,2376,1901,689,523,1259,642,143,546,8482,,,
総社,2017,7,0,71,261,119,119,998,1093,1331,618,119,832,5560,,,
総社,2017,8,48,24,48,119,95,238,238,1354,689,119,285,3255,,,
総社,2017,9,285,261,261,48,48,71,71,1378,570,119,0,3113,,,
総社,2017,10,285,309,190,48,71,48,71,1022,618,119,0,2780,,,
総社,2017,11,143,143,285,24,48,71,24,950,618,119,0,2424,,,
総社,2017,12,143,95,570,24,48,24,0,998,618,143,0,2661,,,
総社,2017,1,143,143,190,24,24,0,24,1307,190,119,0,2162,,,
総社,2017,2,475,570,119,24,0,24,48,1378,261,143,0,3041,,,
総社,2017,3,6225,4301,11832,499,618,1164,1164,8387,4609,5346,1236,45382,,,
総社,2018,4,119,119,927,499,475,6011,4253,927,903,618,4348,19198,,,
総社,2018,5,143,119,642,4301,5441,3635,2946,1259,594,119,4015,23214,,,
総社,2018,6,24,71,404,2447,2305,451,475,1212,475,119,499,8482,,,
総社,2018,7,0,71,238,119,95,879,784,1212,546,119,879,4942,,,
総社,2018,8,24,24,71,143,95,190,190,1188,451,143,261,2780,,,
総社,2018,9,190,238,261,48,48,71,48,1331,546,143,0,2922,,,
総社,2018,10,333,309,261,48,71,48,71,1093,618,95,0,2946,,,
総社,2018,11,119,143,261,48,71,71,24,1022,618,143,0,2519,,,
総社,2018,12,143,119,618,24,71,24,24,950,475,95,0,2542,,,
総社,2018,1,143,119,190,24,24,0,48,1236,238,119,0,2138,,,
総社,2018,2,499,642,143,24,0,24,48,1164,214,119,0,2875,,,
総社,2018,3,4348,4348,8221,546,475,1283,974,11524,5298,4895,1307,43219,,,
岡山東,2016,4,71,71,855,428,404,2851,2899,760,903,428,3920,13591,,,
岡山東,2016,5,71,95,356,3065,2899,1925,2162,950,309,71,1996,13900,,,
岡山東,2016,6,24,48,261,1259,1687,333,404,855,356,71,451,5750,,,
岡山東,2016,7,0,48,143,95,71,594,546,879,404,71,499,3350,,,
岡山東,2016,8,24,24,48,71,95,143,143,855,404,71,166,2043,,,
岡山東,2016,9,143,166,143,48,24,48,48,903,333,71,0,1925,,,
岡山東,2016,10,238,261,190,24,48,24,48,927,404,95,0,2257,,,
岡山東,2016,11,95,71,238,24,48,48,24,808,333,71,0,1758,,,
岡山東,2016,12,95,71,333,24,48,24,0,927,404,71,0,1996,,,
岡山東,2016,1,95,71,143,0,24,0,24,879,166,71,0,1473,,,
岡山東,2016,2,451,333,71,24,0,24,48,689,143,71,0,1853,,,
岡山東,2016,3,3873,3588,6201,428,404,855,832,6558,3920,3255,903,30817,,,
岡山東,2017,4,95,71,760,333,309,3516,3802,808,737,356,4158,14945,,,
岡山東,2017,5,71,71,451,3041,3635,2376,2091,927,356,71,2661,15753,,,
岡山東,2017,6,24,48,238,1497,1830,333,356,808,333,95,428,5988,,,
岡山東,2017,7,0,48,166,95,71,689,570,689,356,71,713,3469,,,
岡山東,2017,8,24,24,48,71,71,143,143,927,356,71,166,2043,,,
岡山東,2017,9,190,166,119,48,24,48,48,689,451,71,0,1853,,,
岡山東,2017,10,190,261,143,24,48,24,48,808,428,95,0,2067,,,
岡山東,2017,11,71,71,166,24,24,48,24,927,380,71,0,1806,,,
岡山東,2017,12,71,71,404,24,48,24,0,855,333,95,0,1925,,,
岡山東,2017,1,71,95,119,0,24,0,24,665,190,95,0,1283,,,
岡山東,2017,2,404,356,71,24,0,24,24,903,190,95,0,2091,,,
岡山東,2017,3,3802,3849,6772,428,380,903,855,7888,2875,2970,713,31434,,,
岡山東,2018,4,71,71,594,285,285,3326,3421,618,808,428,2685,12593,,,
岡山東,2018,5,95,71,404,3825,3113,2138,2281,879,404,71,2447,15729,,,
岡山東,2018,6,24,24,261,1164,1568,309,404,879,333,71,285,5322,,,
岡山東,2018,7,0,48,166,71,71,689,475,879,333,71,499,3303,,,
岡山東,2018,8,24,24,48,71,71,143,143,618,380,71,166,1758,,,
岡山東,2018,9,119,166,166,48,24,24,24,808,356,71,0,1806,,,
岡山東,2018,10,238,190,166,24,48,24,48,832,428,95,0,2091,,,
岡山東,2018,11,71,95,190,24,48,48,24,832,356,71,0,1758,,,
岡山東,2018,12,95,95,309,24,48,24,0,808,333,95,0,1830,,,
岡山東,2018,1,95,71,119,0,24,0,24,665,119,95,0,1212,,,
岡山東,2018,2,356,380,71,24,0,24,24,808,119,71,0,1877,,,
岡山東,2018,3,3564,3564,6534,404,356,594,594,7009,2732,2970,832,29154,,,
岡山北,2016,4,95,95,998,356,475,4301,3730,1045,760,404,3516,15777,,,
岡山北,2016,5,95,95,475,4348,4704,2614,2542,832,380,71,2305,18462,,,
岡山北,2016,6,24,48,214,1402,1734,428,380,784,451,71,380,5916,,,
岡山北,2016,7,0,71,166,95,95,832,855,713,451,95,618,3992,,,
岡山北,2016,8,24,24,48,95,95,166,190,879,475,95,166,2257,,,
岡山北,2016,9,166,190,143,48,48,48,48,903,499,95,0,2186,,,
岡山北,2016,10,261,309,214,48,48,48,48,713,356,71,0,2115,,,
岡山北,2016,11,95,71,190,24,48,48,24,855,499,71,0,1925,,,
岡山北,2016,12,95,71,356,24,48,24,0,903,380,71,0,1972,,,
岡山北,2016,1,95,71,143,0,24,0,24,784,166,95,0,1402,,,
岡山北,2016,2,356,451,95,24,0,24,24,808,143,71,0,1996,,,
岡山北,2016,3,4467,4467,7841,451,451,760,879,7128,4752,3802,808,35806,,,
岡山北,2017,4,95,95,950,309,451,3635,4229,832,689,428,3754,15468,,,
岡山北,2017,5,71,95,475,3113,3255,2471,2067,927,451,95,2352,15373,,,
岡山北,2017,6,24,48,238,1592,1473,428,499,998,499,71,356,6225,,,
岡山北,2017,7,0,48,190,95,71,642,642,903,428,95,808,3920,,,
